team,year,playoffNum,scalewins,scalelosses,scalesos,scalewinstreak,scaleoPts,scaleoYds,scaleoPly,scaleoYpp,scaleoFD,scaleoPaCmp,scaleoPaAtt,scaleoPaYds,scaleoPaTD,scaleoPaInt,scaleoPaYpa,scaleoPaFD,scaleoRuAtt,scaleoRuYds,scaleoRuTD,scaleoRuYpa,scaleoRuFD,scaleoTO,scaledPts,scaledYds,scaledPly,scaledYpp,scaledFD,scaledPaCmp,scaledPaAtt,scaledPaYds,scaledPaTD,scaledPaInt,scaledPaYpa,scaledPaFD,scaledRuAtt,scaledRuYds,scaledRuTD,scaledRuYpa,scaledRuFD,scaledTO,scaleoPtsRk,scaleoYdsRk,scaleoFDRk,scaleoPaAttRk,scaleoPaYdsRk,scaleoPaTDRk,scaleoPaIntRk,scaleoPaYpaRk,scaleoRuAttRk,scaleoRuYdsRk,scaleoRuTDRk,scaleoRuYpaRk,scaleoTORk,scaledPtsRk,scaledYdsRk,scaledFDRk,scaledPaAttRk,scaledPaYdsRk,scaledPaTDRk,scaledPaIntRk,scaledPaYpaRk,scaledRuAttRk,scaledRuYdsRk,scaledRuTDRk,scaledRuYpaRk,scaledTORk
clt,1970,5,90,0,4.386,0,85,68,60,73.684,69,79,70,91,76,55,65.789,97,41,23,40,12.5,22,45,42,48,79,50,47,100,100,60,53,74,40,51,20,31,13,42.857,28,50,20,28,16,16,8,12,56,16,80,88,72,88,60,24,32,40,100,80,40,12,12,8,20,4,36,52
mia,1970,2,80,20,0,86,73,64,38,78.947,54,11,6,28,38,41,55.263,22,84,83,73,68.75,76,24,39,56,33,80,59,95,65,69,58,65,74.286,64,18,33,25,50,33,70,40,40,48,88,76,56,36,32,12,8,24,16,28,16,56,60,84,84,56,20,92,4,24,24,48,24
cin,1970,2,60,40,24.561,100,80,59,41,68.421,34,26,28,21,24,5,36.842,17,68,81,87,87.5,67,0,51,64,74,70,69,64,83,74,63,65,65.714,69,40,42,44,42.857,41,75,24,60,68,84,80,72,8,72,36,12,8,8,0,32,76,76,92,96,60,20,72,32,32,52,40,16
rai,1970,3,60,20,59.649,0,74,100,91,100,100,69,71,96,100,50,76.316,83,73,73,27,68.75,78,24,69,61,51,75,56,0,19,40,84,48,57.143,25,70,95,38,92.857,45,15,32,0,0,12,4,0,48,4,16,24,88,20,28,72,72,48,12,20,96,52,36,64,88,32,88,84
dal,1970,4,80,20,67.544,71,74,83,58,94.737,55,0,4,42,52,27,71.053,14,100,100,87,81.25,96,17,36,36,62,40,38,44,62,29,21,70,22.857,26,38,55,38,64.286,41,75,36,12,40,92,60,32,28,8,0,0,8,12,24,12,12,20,80,8,4,16,4,28,36,32,60,16
min,1970,2,100,0,67.544,43,92,54,73,47.368,51,27,30,45,24,23,55.263,39,93,47,87,6.25,64,28,0,0,36,0,0,47,39,0,0,87,0,0,26,23,0,21.429,11,100,8,72,56,72,52,72,24,28,8,52,8,92,40,0,0,0,36,0,0,4,0,16,16,0,16,0
det,1970,2,80,20,87.719,71,98,62,49,68.421,70,20,3,20,57,9,50,33,96,86,87,62.5,87,14,27,30,0,60,18,46,42,53,42,87,65.714,38,0,0,19,7.143,0,100,4,48,12,96,84,24,12,48,4,4,8,28,20,4,4,4,44,60,20,4,76,0,0,12,4,0
sfo,1970,3,80,10,58.772,43,100,85,61,94.737,64,87,52,100,86,0,100,61,73,43,67,18.75,46,7,57,54,52,65,46,35,51,45,68,61,48.571,34,45,70,50,78.571,31,90,0,4,24,64,0,4,0,0,16,64,32,80,8,52,48,28,68,32,68,36,24,44,68,64,84,12
mia,1971,4,90,0,14.063,14,59,65,25,94.118,46,25,19,34,80,0,71.875,34,78,100,26,100,81,0,14,46,35,47.059,45,66,51,32,6,33,33.333,52,24,40,35,52.941,40,31,12,16,44,88,72,12,0,28,32,0,61,0,0,8,16,32,68,20,8,68,24,12,28,28,56,80
clt,1971,3,90,10,21.875,0,58,45,84,41.176,55,38,43,31,13,41,40.625,46,91,79,89,57.895,84,32,0,0,0,0,0,41,49,9,0,94,8.333,16,0,0,26,0,1,66,16,44,20,64,80,92,48,72,4,16,4,36,28,4,0,0,60,4,0,4,8,0,0,16,0,20
