team,year,playoffNum,scalewins,scalelosses,scalesos,scalewinstreak,scaleoPts,scaleoYds,scaleoPly,scaleoYpp,scaleoFD,scaleoPaCmp,scaleoPaAtt,scaleoPaYds,scaleoPaTD,scaleoPaInt,scaleoPaYpa,scaleoPaFD,scaleoRuAtt,scaleoRuYds,scaleoRuTD,scaleoRuYpa,scaleoRuFD,scaleoTO,scaledPts,scaledYds,scaledPly,scaledYpp,scaledFD,scaledPaCmp,scaledPaAtt,scaledPaYds,scaledPaTD,scaledPaInt,scaledPaYpa,scaledPaFD,scaledRuAtt,scaledRuYds,scaledRuTD,scaledRuYpa,scaledRuFD,scaledTO,scaleoPtsRk,scaleoYdsRk,scaleoFDRk,scaleoPaAttRk,scaleoPaYdsRk,scaleoPaTDRk,scaleoPaIntRk,scaleoPaYpaRk,scaleoRuAttRk,scaleoRuYdsRk,scaleoRuTDRk,scaleoRuYpaRk,scaleoTORk,scaledPtsRk,scaledYdsRk,scaledFDRk,scaledPaAttRk,scaledPaYdsRk,scaledPaTDRk,scaledPaIntRk,scaledPaYpaRk,scaledRuAttRk,scaledRuYdsRk,scaledRuTDRk,scaledRuYpaRk,scaledTORk
clt,1970,0,90,0,4.386,0,85,68,60,73.684,69,79,70,91,76,55,65.789,97,41,23,40,12.5,22,45,42,48,79,50,47,100,100,60,53,74,40,51,20,31,13,42.857,28,50,20,28,16,16,8,12,56,16,80,88,72,88,60,24,32,40,100,80,40,12,12,8,20,4,36,52
mia,1970,2,80,20,0,86,73,64,38,78.947,54,11,6,28,38,41,55.263,22,84,83,73,68.75,76,24,39,56,33,80,59,95,65,69,58,65,74.286,64,18,33,25,50,33,70,40,40,48,88,76,56,36,32,12,8,24,16,28,16,56,60,84,84,56,20,92,4,24,24,48,24
nyj,1970,0,20,80,31.579,0,52,61,75,57.895,56,49,54,54,33,55,47.368,56,69,49,53,31.25,52,34,66,40,44,50,49,10,50,58,74,65,62.857,54,33,14,19,0,6,50,64,52,36,56,48,60,56,60,28,48,44,64,48,68,16,44,64,76,84,20,56,20,4,12,0,52
buf,1970,0,10,80,30.702,0,27,58,35,68.421,26,72,62,63,29,73,42.105,53,18,34,33,56.25,24,100,89,47,61,55,46,0,18,40,47,13,62.857,23,87,61,75,28.571,41,10,88,64,76,36,44,64,88,64,92,80,80,40,100,88,28,28,8,16,28,88,52,92,52,84,28,88
nwe,1970,0,0,100,49.123,0,0,0,0,0,5,30,57,0,0,82,0,19,0,0,53,0,12,62,100,68,68,75,76,25,15,46,68,0,71.429,26,100,100,100,71.429,84,5,100,100,88,40,100,100,92,100,100,100,44,96,84,100,88,84,4,36,68,100,88,100,100,100,80,96
cin,1970,2,60,40,24.561,100,80,59,41,68.421,34,26,28,21,24,5,36.842,17,68,81,87,87.5,67,0,51,64,74,70,69,64,83,74,63,65,65.714,69,40,42,44,42.857,41,75,24,60,68,84,80,72,8,72,36,12,8,8,0,32,76,76,92,96,60,20,72,32,32,52,40,16
cle,1970,0,50,50,47.368,14,67,70,66,73.684,66,46,57,74,48,64,68.421,75,68,43,73,18.75,48,52,56,67,54,80,69,36,32,49,53,48,62.857,51,63,93,38,92.857,67,35,48,24,20,40,16,40,80,12,32,68,24,76,64,48,84,76,24,52,40,52,68,48,84,32,96,64
pit,1970,0,30,70,28.947,0,30,51,49,52.632,30,1,52,34,24,100,31.579,17,52,54,67,56.25,43,86,59,56,94,50,58,42,58,54,79,65,57.143,51,89,57,25,21.429,47,70,80,76,72,60,68,72,100,80,60,44,32,44,96,60,52,56,72,64,92,20,40,96,44,24,24,24
oti,1970,0,10,80,58.772,0,33,65,100,52.632,58,100,100,69,24,59,34.211,63,45,41,47,37.5,49,52,96,74,53,90,60,9,22,72,100,43,100,43,74,70,75,50,38,10,76,36,28,0,24,72,72,76,76,72,68,52,64,96,96,68,16,92,100,68,100,68,64,84,52,88
rai,1970,3,60,20,59.649,0,74,100,91,100,100,69,71,96,100,50,76.316,83,73,73,27,68.75,78,24,69,61,51,75,56,0,19,40,84,48,57.143,25,70,95,38,92.857,45,15,32,0,0,12,4,0,48,4,16,24,88,20,28,72,72,48,12,20,96,52,36,64,88,32,88,84
kan,1970,0,50,30,50.877,0,61,43,5,63.158,4,6,0,10,29,27,42.105,0,61,65,53,62.5,42,28,46,40,66,45,59,47,68,35,47,100,28.571,36,40,55,38,64.286,34,95,56,84,92,100,96,64,28,68,48,28,44,24,40,28,20,60,88,12,28,0,8,32,40,32,56,8
sdg,1970,0,30,40,46.491,14,66,60,46,68.421,57,48,54,69,81,41,50,52,32,33,40,37.5,42,7,62,64,73,70,79,62,37,48,37,4,62.857,46,84,88,69,71.429,70,0,52,56,32,52,28,8,36,44,84,84,72,60,8,64,80,92,32,44,12,96,48,88,80,76,76,100
den,1970,0,30,60,39.474,0,51,55,75,47.368,42,38,63,33,19,82,21.053,41,54,60,93,62.5,43,62,56,42,51,50,32,42,47,56,74,35,57.143,48,33,22,19,14.286,9,40,68,68,64,28,72,88,92,96,56,32,4,32,84,44,24,12,56,68,84,80,32,24,8,12,12,60
dal,1970,4,80,20,67.544,71,74,83,58,94.737,55,0,4,42,52,27,71.053,14,100,100,87,81.25,96,17,36,36,62,40,38,44,62,29,21,70,22.857,26,38,55,38,64.286,41,75,36,12,40,92,60,32,28,8,0,0,8,12,24,12,12,20,80,8,4,16,4,28,36,32,60,16
nyg,1970,0,70,30,53.509,0,75,82,89,78.947,86,91,63,78,57,9,60.526,100,70,60,53,50,58,10,58,59,39,80,56,36,37,57,68,39,68.571,34,40,59,44,64.286,58,30,28,16,4,28,12,24,12,20,24,36,44,48,16,56,64,48,28,72,68,72,80,40,48,52,72,72
crd,1970,0,60,30,59.649,0,87,84,50,100,52,33,56,66,43,41,57.895,28,51,76,100,100,82,34,39,50,86,45,76,32,50,41,53,57,42.857,44,78,66,38,42.857,55,55,12,8,52,48,32,48,36,24,72,20,0,0,48,16,36,84,60,24,40,44,16,80,60,32,44,40
was,1970,0,40,60,92.105,29,73,68,31,89.474,77,61,29,39,76,0,52.632,22,59,78,53,93.75,100,3,78,71,69,80,100,59,44,51,42,30,62.857,59,75,99,94,92.857,100,20,40,32,8,76,64,12,0,36,52,16,44,4,4,80,92,100,48,56,20,84,60,72,96,96,92,76
phi,1970,0,10,80,72.807,14,45,62,75,57.895,55,78,67,65,43,59,52.632,63,62,40,53,18.75,39,55,87,54,30,75,46,5,0,28,53,9,54.286,10,67,99,75,100,64,20,72,44,40,24,40,48,72,40,44,76,44,72,76,84,44,28,0,4,40,92,28,56,92,84,100,76
min,1970,2,100,0,67.544,43,92,54,73,47.368,51,27,30,45,24,23,55.263,39,93,47,87,6.25,64,28,0,0,36,0,0,47,39,0,0,87,0,0,26,23,0,21.429,11,100,8,72,56,72,52,72,24,28,8,52,8,92,40,0,0,0,36,0,0,4,0,16,16,0,16,0
det,1970,2,80,20,87.719,71,98,62,49,68.421,70,20,3,20,57,9,50,33,96,86,87,62.5,87,14,27,30,0,60,18,46,42,53,42,87,65.714,38,0,0,19,7.143,0,100,4,48,12,96,84,24,12,48,4,4,8,28,20,4,4,4,44,60,20,4,76,0,0,12,4,0
gnb,1970,0,40,60,100,0,23,36,51,31.579,16,31,34,17,19,64,23.684,38,63,44,33,25,21,62,69,58,61,65,35,25,40,49,37,52,60,21,65,73,63,64.286,42,65,92,92,84,68,92,88,80,92,40,60,80,68,84,72,60,16,40,48,12,48,44,52,72,68,68,36
chi,1970,0,40,60,78.07,29,53,29,26,31.579,0,69,73,44,67,55,28.947,28,10,4,0,0,0,41,54,59,87,55,67,94,58,71,63,39,71.429,72,69,35,44,7.143,34,35,60,96,100,8,56,20,56,84,96,96,100,100,56,36,68,72,76,88,60,72,84,60,28,52,8,64
sfo,1970,3,80,10,58.772,43,100,85,61,94.737,64,87,52,100,86,0,100,61,73,43,67,18.75,46,7,57,54,52,65,46,35,51,45,68,61,48.571,34,45,70,50,78.571,31,90,0,4,24,64,0,4,0,0,16,64,32,80,8,52,48,28,68,32,68,36,24,44,68,64,84,12
ram,1970,0,70,20,62.281,14,87,75,72,78.947,49,78,76,69,48,14,50,53,51,57,60,62.5,57,24,27,35,44,45,28,48,47,46,47,48,45.714,39,23,22,13,21.429,5,55,12,20,60,4,20,40,20,52,68,40,40,36,28,4,8,8,52,40,28,52,20,12,12,4,20,40
atl,1970,0,20,60,69.298,0,28,37,38,42.105,22,54,29,18,52,50,23.684,38,52,44,7,37.5,31,52,54,50,63,55,44,42,25,44,26,48,62.857,15,83,62,63,35.714,50,55,84,88,80,76,88,32,48,88,64,56,92,56,64,36,40,24,20,28,8,52,64,84,56,68,32,40
nor,1970,0,0,90,95.614,0,11,48,30,57.895,4,72,70,65,19,55,47.368,41,20,14,7,12.5,0,59,94,100,100,100,97,100,84,100,68,61,94.286,100,76,80,69,64.286,61,70,96,80,92,20,36,88,56,56,88,92,92,84,80,92,100,96,96,100,68,36,96,76,76,76,64,24
mia,1971,4,90,0,14.063,14,59,65,25,94.118,46,25,19,34,80,0,71.875,34,78,100,26,100,81,0,14,46,35,47.059,45,66,51,32,6,33,33.333,52,24,40,35,52.941,40,31,12,16,44,88,72,12,0,28,32,0,61,0,0,8,16,32,68,20,8,68,24,12,28,28,56,80
clt,1971,0,90,10,21.875,0,58,45,84,41.176,55,38,43,31,13,41,40.625,46,91,79,89,57.895,84,32,0,0,0,0,0,41,49,9,0,94,8.333,16,0,0,26,0,1,66,16,44,20,64,80,92,48,72,4,16,4,36,28,4,0,0,60,4,0,4,8,0,0,16,0,20
nyj,1971,0,50,50,64.063,29,13,0,12,17.647,17,0,12,0,47,22,21.875,0,78,59,32,42.105,73,11,63,85,62,82.353,65,15,33,37,50,11,58.333,30,57,86,70,100,70,17,88,100,76,96,100,36,32,84,36,40,48,60,12,72,72,60,28,32,68,96,44,56,96,80,100,96
nwe,1971,0,50,50,68.75,14,24,16,11,35.294,5,27,37,29,73,22,40.625,34,47,43,5,47.368,32,32,73,69,72,58.824,67,24,40,46,44,22,62.5,52,61,58,52,47.059,56,24,72,80,92,80,88,16,32,76,68,68,96,52,28,80,56,64,40,52,56,84,52,64,60,56,44,92
buf,1971,0,0,100,76.563,0,0,3,0,23.529,0,56,71,35,27,81,15.625,36,0,17,0,57.895,8,89,100,99,97,76.471,79,8,0,42,69,0,87.5,30,100,100,83,70.588,90,0,100,96,100,20,68,72,96,96,100,92,100,40,96,100,96,88,0,40,88,100,96,100,100,92,80,100
cle,1971,2,80,20,42.188,71,45,33,66,35.294,45,46,59,52,40,63,59.375,75,67,34,68,15.789,37,79,53,76,67,64.706,62,7,31,29,19,72,50,27,63,81,52,82.353,67,62,36,68,48,40,32,52,80,40,56,76,9,92,80,36,64,52,20,12,28,28,36,68,88,56,92,28
pit,1971,0,50,50,46.875,0,28,35,72,35.294,40,64,77,42,47,59,25,55,45,49,21,57.895,49,68,60,79,88,58.824,56,100,89,100,44,33,87.5,100,42,27,48,11.765,26,45,64,64,52,16,52,36,68,80,76,48,74,32,64,64,68,40,88,100,56,68,92,32,16,52,8,52
oti,1971,0,30,60,34.375,0,30,14,33,23.529,16,50,81,59,27,100,43.75,63,19,0,21,0,0,100,75,53,88,29.412,67,35,43,38,13,67,45.833,20,65,44,87,17.647,69,52,60,84,80,12,20,72,100,60,96,100,74,100,100,84,32,64,48,36,16,32,28,76,40,96,20,48
cin,1971,0,30,70,21.875,0,45,57,72,58.824,50,64,53,42,47,4,40.625,60,67,78,42,78.947,64,0,49,60,42,58.824,44,8,27,43,63,89,66.667,32,45,48,39,47.059,40,59,40,20,32,48,52,36,4,68,52,20,35,8,0,32,44,24,16,48,84,8,56,36,48,36,40,40
kan,1971,2,90,0,25,43,53,52,66,58.824,53,43,40,55,47,11,75,65,79,56,42,36.842,63,11,27,52,44,47.059,54,69,97,74,13,89,54.167,84,7,14,30,17.647,17,38,28,32,28,68,24,36,12,24,28,44,35,68,12,16,24,36,96,92,16,8,40,8,8,24,24,60
rai,1971,0,70,10,35.938,14,72,56,56,64.706,71,37,45,43,87,59,56.25,54,72,77,68,73.684,90,57,55,73,82,52.941,72,40,47,66,38,67,79.167,77,61,46,52,23.529,49,62,4,24,12,60,48,8,68,44,48,28,9,12,56,52,60,80,56,84,40,32,68,60,44,56,36,28
sdg,1971,0,50,50,21.875,0,57,83,66,94.118,77,84,94,100,100,67,87.5,100,33,38,26,52.632,33,71,79,96,74,88.235,100,51,37,55,38,61,83.333,59,67,86,100,88.235,100,34,24,4,8,4,0,0,88,8,88,72,61,44,72,88,92,100,36,60,40,40,76,84,92,100,96,72
den,1971,0,30,60,60.938,0,9,50,90,47.059,31,38,50,39,0,63,46.875,48,91,75,16,52.632,55,57,53,55,52,47.059,38,0,45,31,56,50,33.333,7,35,52,39,64.706,37,62,92,40,60,56,64,100,80,52,4,36,83,48,56,40,36,16,52,16,80,56,16,24,52,36,72,28
dal,1971,5,100,0,0,100,100,100,100,100,100,58,51,80,93,15,100,96,91,86,100,68.421,100,43,33,35,46,23.529,32,69,100,61,38,83,33.333,84,0,2,26,0,0,100,0,0,0,52,4,4,16,4,4,8,0,24,40,24,8,12,100,72,40,24,20,4,4,16,4,0
was,1971,2,80,10,35.938,0,41,43,43,58.824,26,42,38,51,33,19,81.25,56,74,49,11,31.579,21,43,20,38,71,17.647,44,48,92,43,13,100,25,70,27,20,22,11.765,17,66,44,48,64,72,36,64,28,16,44,52,87,76,40,12,12,24,92,44,16,0,12,16,12,8,12,20
phi,1971,0,50,40,75,43,17,17,39,23.529,16,54,65,54,33,37,53.125,65,41,11,0,0,4,43,64,100,93,82.353,80,82,88,91,44,61,79.167,93,47,61,61,70.588,54,86,84,76,80,28,28,64,44,48,80,96,100,96,40,76,100,92,84,96,56,40,64,48,64,76,76,4
crd,1971,0,30,60,39.063,0,21,42,38,58.824,26,34,63,62,40,59,68.75,53,46,32,11,31.579,33,82,55,85,88,70.588,74,73,61,66,19,33,75,73,64,63,35,52.941,60,38,76,52,64,36,16,52,68,36,72,80,87,80,88,56,76,84,72,80,28,68,60,72,68,28,48,60
nyg,1971,0,30,70,76.563,0,20,51,93,47.059,50,100,100,76,40,56,46.875,91,35,27,26,31.579,33,79,87,86,35,100,58,27,25,59,100,22,100,55,46,68,43,82.353,54,28,80,36,32,0,8,52,64,56,84,84,61,72,80,96,80,44,8,68,100,84,100,44,72,48,88,84
min,1971,2,100,0,34.375,29,27,5,56,5.882,13,26,38,16,7,30,21.875,35,77,45,42,21.053,37,25,0,31,87,5.882,26,66,86,15,6,89,0,0,45,35,0,23.529,35,79,68,88,88,72,96,96,40,88,40,64,35,84,24,0,4,4,80,8,8,8,0,40,20,0,28,8
det,1971,0,60,30,54.688,0,71,74,68,82.353,82,26,22,47,60,15,87.5,46,100,96,47,73.684,95,36,58,57,7,76.471,42,15,3,34,50,61,83.333,25,38,53,57,64.706,45,38,8,12,4,84,44,28,16,12,0,4,26,16,36,60,40,20,4,28,68,40,84,28,56,72,64,60
chi,1971,0,50,50,100,0,0,4,64,0,4,45,91,30,27,67,0,40,21,25,0,42.105,18,82,54,94,100,70.588,64,49,50,68,19,61,83.333,66,75,73,52,58.824,48,79,96,92,96,8,84,72,88,100,92,88,100,56,88,44,88,56,64,88,28,40,72,96,76,56,60,8
gnb,1971,0,30,50,62.5,0,41,37,1,70.588,22,1,0,17,27,52,71.875,25,85,85,63,73.684,73,75,62,65,75,52.941,60,42,42,59,75,28,83.333,50,65,43,22,17.647,54,34,48,60,72,100,92,72,56,32,16,12,17,20,76,68,48,48,44,64,96,80,80,76,36,8,16,72
sfo,1971,3,80,20,56.25,29,52,81,96,76.471,70,60,66,68,67,52,78.125,69,84,77,32,63.158,70,68,30,47,27,52.941,31,2,32,33,50,17,45.833,18,27,40,9,52.941,25,28,32,8,16,24,12,20,56,20,20,32,48,28,64,20,20,8,24,24,68,92,32,16,32,4,52,84
ram,1971,0,70,20,95.313,14,58,55,64,58.824,48,44,56,41,67,4,43.75,55,66,78,47,84.211,59,21,47,67,87,47.059,69,59,71,66,38,89,58.333,93,49,39,39,23.529,38,41,16,28,40,44,60,20,4,64,60,24,26,4,20,28,52,76,76,76,40,8,48,52,24,36,32,56
atl,1971,0,60,30,75,14,41,39,30,58.824,35,32,15,50,53,41,100,51,82,45,32,15.789,51,46,54,53,84,29.412,67,16,34,0,0,50,8.333,41,70,75,74,64.706,65,55,48,56,56,92,40,32,48,0,24,60,48,88,52,48,28,64,32,0,0,56,4,92,80,88,68,44
nor,1971,0,30,50,98.438,0,37,23,88,11.765,55,42,64,33,27,15,18.75,49,62,46,63,36.842,59,7,82,90,69,82.353,89,29,25,53,69,50,87.5,50,68,79,70,70.588,83,79,56,72,20,32,76,72,16,92,64,56,17,64,8,92,84,96,8,56,88,56,88,88,84,80,84,8
mia,1972,5,100,0,0,100,100,100,86,89.474,95,43,22,58,50,16,94.444,62,100,100,100,82.353,100,31,0,0,0,5.882,0,52,43,5,18,91,3.448,25,0,3,10,37.5,0,92,0,0,4,92,60,40,8,8,0,0,0,4,16,0,0,0,48,16,8,4,8,0,8,8,32,4
